Abdomen	The tummy area from the lower ribs to the pelvis.
Placenta praevia	A condition where the placenta covers all or part of the cervix. If the placenta does not move sufficiently it may be necessary to perform a caesarean. See also major placenta praevia.
Platelets	Specialised cells necessary for blood clotting.
Polycystic ovaries	Ovaries which have at least twice as many developing follicles as normal ovaries in the early part of the menstrual cycle.
Polycystic ovary syndrome	A condition which can affect a woman’s menstrual cycle, fertility, hormones and aspects of her appearance. It can also affect long-term health.
PCOS	A condition which can affect a woman’s menstrual cycle, fertility, hormones and aspects of her appearance. It can also affect long-term health.
Polyhydramnios	Too much fluid (amniotic fluid) surrounding the baby in the uterus.
Polyp	A growth of tissue arising from the lining layer of an organ of your body. Polyps can grow in many different places, for example, cervix, uterus, bowel, inside of nose, skin.
Post-mortem	A medical examination of the body to find a cause of death.
Postnatal	The baby’s condition after birth.
Postpartum	The mother’s condition after childbirth.
Postpartum haemorrhage	Heavy blood loss after the delivery of the baby.
Pre-eclampsia (also known as toxaemia)	A condition that occurs in the second half of pregnancy, associated with high blood pressure and protein in the urine.
Pregnancy test	A test on a sample of urine or blood to confirm whether a woman is pregnant. The test works by detecting the presence of a pregnancy hormone.
Premature birth / Preterm birth	When your baby is born before 37 completed weeks of pregnancy.
Preterm labour	Labour that happens before 37 weeks of pregnancy.
Preterm premature rupture of membranes	When a pregnant woman’s waters break before 37 weeks of pregnancy.
Progesterone	A hormone produced as a result of ovulation. It prepares the lining of the womb to enable a fertilised egg to implant there.
Progestogen	A synthetic hormone, similar to progesterone. It thickens the mucus around the cervix, making it difficult for sperm to get into the womb or for a fertilised egg to implant in the womb.
Prolactin	The hormone which is responsible for producing breast milk.
Prolapse	Where the bladder, womb or bowel pushes through the wall of the vagina.
Prostaglandin	The hormone that makes the womb contract during labour. Synthetic prostaglandins can be used to induce labour or in medical abortion to end a pregnancy.
Proteinuria	Protein in the urine.
Pubic, pubis	The area around the bone at the front of the pelvis.
Pudendal block	A local anaesthetic injection inside the vagina.
Pulmonary embolus	Part of a blood clot (DVT) which breaks off and travels in the blood stream and becomes stuck in the lung.
Randomised controlled trial	A study which tests the effectiveness and safety of treatments or procedures as fairly and objectively as possible. By randomly assigning patients to different treatments for the same problem, the results can be assessed equally with the aim of discovering the best possible procedure for the condition.
RCT	A study which tests the effectiveness and safety of treatments or procedures as fairly and objectively as possible. By randomly assigning patients to different treatments for the same problem, the results can be assessed equally with the aim of discovering the best possible procedure for the condition.
Rectocele	When the rectum bulges into the weakened wall of the vagina. A lump may be seen or felt.
Rectum	The part of the large intestine which stores solid waste until it leaves the body through the anus.
Recurrent miscarriage	When a woman loses three or more babies before 23 completed weeks.
Regional Anaesthetic
This is anaesthetic given to numb part of your body for an operation and is an alternative to a general anaesthetic (where you are asleep for your operation). There are different types of regional anaesthetic including spinal anaesthetic and epidural anaesthetic. These are commonly used for caesarean births.
Reproductive organs	The parts of the male and female body needed to create and sustain a pregnancy.
Reproductive years	In women, the time from the start of menstrual periods (menarche) to the menopause.
Retrovirus	A type of virus. HIV is a retrovirus. See also HAART and antiretroviral therapy.
RhD antigen	A protein on the red blood cells of 85% of people in the UK. These people are known as RhD positive. People who do not have the protein are described as RhD negative. See also blood group.
Risk	The chance that an activity or hazard will give rise to harm. Risk is generally given in terms of numerical odds (1 in 10) or percentages (10%).
Royal College of Obstetricians and Gynaecologists (RCOG)	We are the professional body who oversee the medical education, training and examination of obstetricians and gynaecologists in the UK and many places overseas. We set internationally recognised standards and produce clinical guidelines for treatment and care.
Rupture of membranes	The medical term for the breaking of waters in pregnancy.
Sanitary pad	A disposable pad of absorbent material used to collect blood during menstruation and after childbirth.
Scientific evidence	Information gathered in a systematic way to confirm or disprove a particular idea. Growing understanding may result in established practices being changed.
Screening	A test or set of tests to check for a condition in a person who shows no symptoms, but who may be at risk (perhaps because of their age or sexual behaviour, for example).
Second-degree tear	A tear during childbirth which affects the muscle of the perineum as well as the skin, and usually requiring stitches.
Second stage of labour	The period when the cervix is fully dilated until the birth. This is the time when the woman will start pushing.
See and treat	A phrase sometimes used to describe treatment being offered at a first colposcopy appointment.
Semen	The fluid that contains sperm.
Sepsis	The immune system's overreaction to an infection or injury which can lead to tissue damage, organ failure, and death.
Severe pre-eclampsia	When pre-eclampsia has progressed and treatment is required or the baby needs to be delivered.
Sexually transmitted infection	An infection that is passed on through close physical contact during sex. Some STIs have no symptoms, so it is important to be tested if you think you have been at risk. See also chlamydia, genital herpes and HIV.
STI	An infection that is passed on through close physical contact during sex. Some STIs have no symptoms, so it is important to be tested if you think you have been at risk. See also chlamydia, genital herpes and HIV.
Shoulder dystocia	A situation during birth when the baby’s head has been born but one of the shoulders becomes stuck behind the mother’s pelvic bone, preventing the birth of the baby’s body.
Sickle cell disease	An inherited condition in which red blood cells, which carry oxygen around the body, develop abnormally.
SCD	An inherited condition in which red blood cells, which carry oxygen around the body, develop abnormally.
Skin to skin contact	Having your baby on you with their naked skin next to yours. This helps with temperature control, establishing breast feeding and bonding with your new baby
Sonographer	A healthcare professional who uses ultrasound equipment to scan your baby to in order to check their growth and development
Special care baby unit	A specialist unit in a hospital to care for premature babies.
Speculum	A plastic or metal instrument used to separate the walls of the vagina to show or reach the cervix.
Sperm	The male reproductive cell which fertilises a woman’s eggs. Men usually have millions of sperm in their semen.
Spina bifida	A condition which affects the unborn baby in the early stages of pregnancy. Spina bifida causes damage to the spinal cord and nerves.
Spinal anaesthesia	An anaesthetic injection into the lower back that numbs the lower body so surgery can be carried out in this area without you feeling any pain.
Spontaneous vaginal birth	The natural birth of a baby through the vaginal canal without assistance.
Sporadic	A ‘one-off’ event.
Sterilisation	Permanent contraception for women (see tubal occlusion) and men (see vasectomy).
Steroids	A group of natural or synthetic hormones. See also corticosteroids.
Stillbirth	When a baby is born dead after the 23rd completed week of pregnancy.
Stool	The waste matter discharged in a bowel movement.
faeces	The waste matter discharged in a bowel movement.
Stress incontinence	Leaking urine during everyday activities like coughing, laughing or exercising. This usually happens because the muscles that support the bladder are too weak.
Succenturial lobe	An additional piece of placenta connected by membranes.
Surgical abortion	A type of abortion using suction instruments or D&E to end a pregnancy. See also abortion and medical abortion.
Sutures	Stitches which may dissolve, or remain within the body permanently.
Symphysis fundal height	A measure of the size of the uterus used to monitor a baby’s growth and development during pregnancy.
Symptom	A specific medical sign of a condition, illness or disease.
Syndrome	A collection of different signs and symptoms that are all part of the same underlying medical condition.
Systematic review	A review of evidence from a number of studies on a particular topic. The review uses standardised methods to analyse results and assess conclusions
Thrombophilia	A blood clotting abnormality which tends to run in families, whereby the blood is more likely to clot than usual.
Tachycardia	A rapid heart beat.
Tampon	A tube of absorbent material that fits into the vagina to absorb the menstrual blood.
Temperature	The degree of hotness or coldness of a body or an environment.
Term	Between 37 and 42 weeks of pregnancy.
Testosterone	A male hormone that occurs in small amounts in women and can be used as a part of hormone replacement therapy
Third-degree tear	A tear during childbirth which extends downwards from the vaginal wall and perineum to the anal sphincter, the muscle that controls the anus.
Threatened miscarriage	Bleeding before 24 weeks of pregnancy which occurs without harm to the baby.
Thrombosis	A clot in a blood vessel.
Thrush	See vaginal thrush.
To open bowels	To go to the toilet to pass solid waste.
Tocolysis	Treatments used to delay or prevent early labour.
Toxaemia	See pre-eclampsia.
Toxoplasmosis	A common infection caused by a parasite which can be found in undercooked meats and the poo of infected cats. It can also be found in soil that has been contaminated by cat poo, and in unpasteurised goat’s milk, or caught by handling pregnant sheep and lambs. Usually it does not cause any symptoms, but can cause a flu-like illness. It can cause serious problems if you have a weakened immune system, or catch it for the first time during pregnancy. In pregnancy it can cause miscarriage or health problems for the baby. It can be treated with antibiotics.
Transabdominal scan	A scan where the probe is moved across the abdomen.
Transvaginal scan	A scan where the probe is placed inside the vagina.
Transverse position	When the baby is lying across the womb.
Trimester	A three-month period of time. Pregnancy is divided into three trimesters:
First trimester – up to around 13 weeks
Second trimester – to around 13 to 26 weeks
Third trimester – around 27 to 40 weeks
Tubal occlusion	An operation which blocks, seals or cuts the fallopian tubes. Also known as sterilisation. It is a permenant method of contraception for women.
Ultrasound	High-frequency sound waves used to provide images of the body, tissues and internal organs.
Umbilical cord	The cord that connects a mother’s blood system with a baby’s (through its navel) and which is cut after the birth.
umbilicus	The cord that connects a mother’s blood system with a baby’s (through its navel) and which is cut after the birth.
Urethra	The tube through which urine empties out of the bladder.
Urethracele	When the tissues that hold the urethra in place weaken, causing it to move and put pressure on the vagina, sometimes pushing through the wall of the vagina.
Urine	Excreted fluids containing waste products of the body.
Urodynamics	Tests to assess how the bladder is working.
Uterine rupture	This is when the muscle of your uterus (womb) tears, usually because of contractions while you are in labour. It is rare but more common if you have had previous operations on your uterus including caesarean births. It is an emergency affecting both you and your baby and if it happens you are likely to need an emergency caesarean birth.
Uterine sarcoma	A disease in which malignant (cancer) cells form in the muscles of the uterus or other tissues that support the uterus, rather than the lining of the womb, as in the case of uterine carcinoma.
Uterus	The organ where a baby develops during pregnancy. Made of muscle, it is hollow, stretchy and about the size and shape of an upside-down pear. It sits between the bladder and the rectum in a woman’s pelvis.
womb	The organ where a baby develops during pregnancy. Made of muscle, it is hollow, stretchy and about the size and shape of an upside-down pear. It sits between the bladder and the rectum in a woman’s pelvis.
Vagina	The canal leading from the vulva to the cervix.
Vaginal discharge	Any vaginal secretion except menstrual bleeding.
Normal vaginal discharge	A clear or whitish fluid that comes from the vagina or cervix.
Abnormal vaginal discharge	An abnormal smelling yellow or green discharge which should be assessed by a doctor.
Vaginal examination – internal	A check to feel the size and position of the vagina and cervix to check there isn’t any abnormality or problem. This may be carried out using a speculum.
Vaginal swab	Similar to a cotton bud, but smaller and rounder. Some have a small plastic loop at the end instead of a cotton tip. It is wiped over the vagina to collect samples of fluid to check for infection.
Vaginal thrush	An infection caused by a yeast known as Candida albicans. Symptoms include redness and itching around the genital area and unusual vaginal discharge.
Varicella	The medical name for chickenpox. See chickenpox.
Vas deferens	The tube which carries sperm from the testicles to the penis.
Vasectomy	A permanent method of contraception for men. It blocks, seals or cuts the tube (the vas deferens) which carries sperm from the testicles to the penis. Also known as sterilisation.
Vein	A blood vessel that takes blood towards the heart.
Velamentous cord insertion	Normally the umbilical cord inserts into the centre of the placenta. Velamentous cord insertion is when it runs through the membranes before reaching the placenta
Venous thrombosis	A blood clot that forms in a vein.
Ventouse delivery	A way of helping deliver a baby by using suction through a special cup placed on the baby’s head.
Virus	A micro-organism which invades living cells in order to grow or reproduce. Viruses cause many infections, from the common cold, chickenpox and measles to HIV.
Vulva	The area surrounding the opening of the vagina. It includes the inner and outer vaginal lips (the labia) and the clitoris.
Weak cervix	When the cervix (the neck of the womb) opens too early in pregnancy, in the second trimester, and without contractions. Used to be known as ‘incompetent cervix’.
White cell	Cells in the lymphatic and blood systems of the body which fight infection. They are part of the body’s immune system.
White cell count	A count to measure the number of white blood cells.
IgG	A natural substance in the blood that protects against disease and infection. It is also used as a drug to boost immunity.
